Rank,Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor
646,Ghostbusters II,29472894,112494738,26.2,2410,12229,1989-06-16,Columbia Pictures
647,Scooby-Doo 2: Monsters Unleashed,29438331,84216833,35,3312,8888,2004-03-26,Warner Bros.
648,Indiana Jones and the Last Crusade,29355021,197171806,14.9,2327,12614,1989-05-24,Paramount Pictures
649,A.I. Artificial Intelligence,29352630,78616689,37.3,3242,9053,2001-06-29,Warner Bros.
650,Now You See Me,29350389,117723989,24.9,2925,10034,2013-05-31,Lionsgate Films
651,Beverly Hills Chihuahua,29300465,94514402,31,3215,9113,2008-10-03,Walt Disney Studios Motion Pictures
652,Why Did I Get Married Too?,29289537,60095852,48.7,2155,13591,2010-04-02,Lionsgate Films
653,Think Like a Man Too,29241911,65182182,44.9,2225,13142,2014-06-20,Screen Gems
654,The Muppets,29239026,88631237,33,3440,8499,2011-11-23,Walt Disney Studios Motion Pictures
655,The Lone Ranger,29210849,89302115,32.7,3904,7482,2013-07-03,Walt Disney Studios Motion Pictures
656,Eagle Eye,29150721,101440743,28.7,3510,8305,2008-09-26,DreamWorks
657,Toy Story,29140617,191796233,15.2,2457,11860,1995-11-22,Walt Disney Studios Motion Pictures
658,The Texas Chainsaw Massacre,29100000,80571655,36.1,3016,9648,2003-10-17,New Line Cinema
659,Spy,29085719,110825712,26.2,3711,7837,2015-06-05,Twentieth Century Fox
660,Terminator: Dark Fate,29033832,62253077,46.6,4086,7105,2019-11-01,Paramount Pictures
661,Allegiant,29027348,66184051,43.9,3740,7761,2016-03-18,Lionsgate Films
662,Doctor Dolittle,29014324,144156605,20.1,2777,10448,1998-06-26,Twentieth Century Fox
663,The Santa Clause 2,29008696,139236327,20.8,3350,8659,2002-11-01,Walt Disney Studios Motion Pictures
664,Paranormal Activity 4,29003866,53885000,53.8,3412,8500,2012-10-19,Paramount Pictures
665,Jackass Number Two,29002002,72778712,39.8,3059,9480,2006-09-22,Paramount Pictures
666,Inside Man,28954945,88513495,32.7,2818,10274,2006-03-24,Universal Pictures
667,Cast Away,28883406,233632142,12.4,2774,10412,2000-12-22,Twentieth Century Fox
668,Non-Stop,28875635,92168600,31.3,3090,9344,2014-02-28,Universal Pictures
669,Miss Peregrine's Home for Peculiar Children,28871140,87242834,33.1,3522,8197,2016-09-30,Twentieth Century Fox
670,Edge of Tomorrow,28760246,100206256,28.7,3490,8240,2014-06-06,Warner Bros.
671,Murder on the Orient Express,28681472,102826543,27.9,3341,8584,2017-11-10,Twentieth Century Fox
672,Bob Marley: One Love,28659004,96456635,29.7,3539,8098,2024-02-14,Paramount Pictures
673,Titanic,28638131,600683057,4.8,2674,10709,1997-12-19,Paramount Pictures
674,Mean Girls,28635307,72404248,39.6,3791,7553,2024-01-12,Paramount Pictures
675,Meet the Parents,28623300,166244045,17.2,2614,10950,2000-10-06,Universal Pictures
676,Obsessed,28612730,68261644,41.9,2514,11381,2009-04-24,Screen Gems
677,The Expendables 2,28591370,85028192,33.6,3316,8622,2012-08-17,Lionsgate Films
678,Alita: Battle Angel,28525613,85838210,33.2,3790,7526,2019-02-14,Twentieth Century Fox
679,Boo! A Madea Halloween,28501448,73206343,38.9,2260,12611,2016-10-21,Lionsgate Films
680,Anchorman: The Legend of Ron Burgundy,28416365,85288303,33.3,3091,9193,2004-07-09,DreamWorks Distribution
681,Mama,28402310,71628180,39.6,2647,10730,2013-01-18,Universal Pictures
682,Free Guy,28365416,121626598,23.3,4165,6810,2021-08-13,20th Century Studios
683,Nacho Libre,28309599,80197993,35.3,3070,9221,2006-06-16,Paramount Pictures
684,Horrible Bosses,28302165,117538559,24.1,3040,9309,2011-07-08,Warner Bros.
685,The Invisible Man,28205665,70410000,40.1,3610,7813,2020-02-28,Universal Pictures
686,Erin Brockovich,28138465,125595205,22.4,2848,9880,2000-03-17,Universal Pictures
687,Pacific Rim: Uprising,28116535,59874525,47,3708,7582,2018-03-23,Universal Pictures
688,Starsky & Hutch,28103367,88237754,31.8,3185,8823,2004-03-05,Warner Bros.
689,Sin City,28100000,74103820,37.9,3230,8699,2005-04-01,Dimension Films
690,Teenage Mutant Ninja Turtles: Mutant Mayhem,28007544,118613586,23.6,3858,7259,2023-08-02,Paramount Pictures
691,Back to the Future Part II,27835125,118450002,23.5,1865,14925,1989-11-22,Universal Pictures
692,Hairspray,27800000,118871849,23.4,3121,8907,2007-07-20,New Line Cinema
693,The Matrix,27788331,171479930,16.2,2849,9753,1999-03-31,Warner Bros.
694,He's Just Not That Into You,27785487,93953653,29.6,3175,8751,2009-02-06,Warner Bros.
695,Mamma Mia!,27751240,144290968,19.2,2976,9325,2008-07-18,Universal Pictures
696,Big Momma's House 2,27736056,70165972,39.5,3261,8505,2006-01-27,Twentieth Century Fox
697,Jarhead,27726210,62658220,44.2,2411,11499,2005-11-04,Universal Pictures
698,Along Came Polly,27721185,88097164,31.5,2984,9289,2004-01-16,Universal Pictures
699,Wild Wild West,27687484,113804681,24.3,3342,8284,1999-06-30,Warner Bros.
700,Aquaman and the Lost Kingdom,27686211,124481226,22.2,3706,7470,2023-12-22,Warner Bros.
701,Daddy Day Care,27623580,104297061,26.5,3370,8196,2003-05-09,Revolution Studios
702,The Ugly Truth,27605576,88915214,31,2882,9578,2009-07-24,Sony Pictures Releasing
703,Cheaper by the Dozen,27557647,138614544,19.9,3298,8355,2003-12-25,Twentieth Century Fox
704,Wonder,27547866,132422809,20.8,3096,8897,2017-11-17,Lionsgate Films
705,The Devil Wears Prada,27537244,124740460,22.1,2847,9672,2006-06-30,Twentieth Century Fox
706,Space Jam,27528529,90418342,30.4,2650,10388,1996-11-15,Warner Bros.
707,After Earth,27520040,60522097,45.5,3401,8091,2013-05-31,Sony Pictures Releasing
708,Beowulf,27515871,82280579,33.4,3153,8726,2007-11-16,Paramount Pictures
709,42,27487144,95020213,28.9,3003,9153,2013-04-12,Warner Bros.
710,Bedtime Stories,27450296,110101975,24.9,3681,7457,2008-12-25,Walt Disney Studios Motion Pictures
711,The Final Destination,27408309,66477700,41.2,3121,8781,2009-08-28,Warner Bros.
712,Jumper,27354808,80172128,34.1,3428,7979,2008-02-14,Twentieth Century Fox
713,Journey 2: The Mysterious Island,27335363,103860290,26.3,3470,7877,2012-02-10,Warner Bros.
714,The Rugrats Movie,27321470,100494675,27.2,2782,9820,1998-11-20,Paramount Pictures
715,Real Steel,27319677,85468508,32,3440,7941,2011-10-07,Walt Disney Studios Motion Pictures
716,Les Misérables,27281735,148809770,18.3,2814,9695,2012-12-25,Universal Pictures
717,Night School,27257615,77339130,35.2,3010,9055,2018-09-28,Universal Pictures
718,Encanto,27206494,96093622,28.3,3980,6835,2021-11-24,Walt Disney Studios Motion Pictures
719,Jack the Giant Slayer,27202226,65187603,41.7,3525,7716,2013-03-01,Warner Bros.
720,The Bourne Identity,27118640,121661683,22.3,2638,10280,2002-06-14,Universal Pictures
721,A Madea Family Funeral,27062332,73257045,36.9,2442,11082,2019-03-01,Lionsgate Films
722,2 Guns,27059130,75612460,35.8,3025,8945,2013-08-02,Universal Pictures
723,Terminator Genisys,27018486,89760956,30.1,3758,7189,2015-07-01,Paramount Pictures
724,Ender's Game,27017351,61737191,43.8,3407,7929,2013-11-01,Lionsgate Films
725,The Departed,26887467,132384315,20.3,3017,8911,2006-10-06,Warner Bros.
726,Alice Through the Looking Glass,26858726,77041381,34.9,3763,7137,2016-05-27,Walt Disney Studios Motion Pictures
727,Underworld: Evolution,26857181,62318875,43.1,3207,8374,2006-01-20,Screen Gems
728,The Curious Case of Benjamin Button,26853816,127509326,21.1,2988,8987,2008-12-25,Paramount Pictures
729,Zombieland: Double Tap,26803104,73123082,36.6,3468,7728,2019-10-18,Sony Pictures Releasing
730,Knives Out,26769548,165363234,16.2,3461,7734,2019-11-27,Lionsgate Films
731,Flubber,26725207,92977226,28.7,2641,10119,1997-11-26,Walt Disney Studios Motion Pictures
732,Dawn of the Dead,26722575,59020957,45.3,2745,9735,2004-03-19,Universal Pictures
733,The Sixth Sense,26681262,293506292,9.1,2161,12346,1999-08-06,Walt Disney Studios Motion Pictures
734,Resident Evil: Afterlife,26650264,60128566,44.3,3203,8320,2010-09-10,Screen Gems
735,The House with a Clock in Its Walls,26608020,68549695,38.8,3592,7407,2018-09-21,Universal Pictures
736,The Campaign,26588460,86907746,30.6,3205,8295,2012-08-10,Warner Bros.
737,Spy Kids,26546881,112719001,23.6,3104,8552,2001-03-30,Miramax
738,The Pursuit of Happyness,26541709,163566459,16.2,2852,9306,2006-12-15,Sony Pictures Releasing
739,Crazy Rich Asians,26510140,174532921,15.2,3384,7833,2018-08-15,Warner Bros.
740,The Exorcist: Believer,26497600,65537395,40.4,3663,7233,2023-10-06,Universal Pictures
741,Borat,26455463,128505958,20.6,837,31607,2006-11-03,Twentieth Century Fox
742,All Eyez on Me,26435354,44922302,58.8,2471,10698,2017-06-16,Lionsgate Films
743,We're the Millers,26419396,150394119,17.6,3260,8104,2013-08-07,Warner Bros.
744,Hollow Man,26414386,73209340,36.1,2956,8935,2000-08-04,Sony Pictures Releasing
745,Don't Breathe,26411706,89217875,29.6,3051,8656,2016-08-26,Screen Gems
746,Halloween,26362367,58272029,45.2,3472,7592,2007-08-31,-
747,Beverly Hills Cop II,26348555,153665036,17.2,2326,11327,1987-05-20,Paramount Pictures
748,The Curse of La Llorona,26347631,54733739,48.1,3372,7813,2019-04-19,Warner Bros.
749,Bridesmaids,26247410,169106725,15.5,2918,8995,2011-05-13,Universal Pictures
750,Anchorman 2: The Legend Continues,26232425,125168368,21,3507,7480,2013-12-18,Paramount Pictures
751,Bolt,26223128,114053579,23,3651,7182,2008-11-21,Walt Disney Studios Motion Pictures
752,The Suicide Squad,26205415,55817425,47,4002,6548,2021-08-06,Warner Bros.
753,GoldenEye,26205007,106429941,24.6,2667,9825,1995-11-17,Metro-Goldwyn-Mayer
754,The Golden Compass,26125000,70107728,37.3,3528,7405,2007-12-07,New Line Cinema
755,The Help,26044590,169708112,15.4,2534,10278,2011-08-10,Walt Disney Studios Motion Pictures
756,Happy Death Day,26039025,55683845,46.8,3149,8268,2017-10-13,Universal Pictures
757,The Perfect Guy,25888154,57027435,45.4,2221,11656,2015-09-11,Screen Gems
758,True Lies,25869770,146282411,17.7,2368,10924,1994-07-15,Twentieth Century Fox
759,Tropic Thunder,25812796,110515313,23.4,3319,7777,2008-08-13,DreamWorks
760,Evil Dead,25775847,54239856,47.5,3025,8520,2013-04-05,TriStar Pictures
761,Rocketman,25725722,96368160,26.7,3610,7126,2019-05-31,Paramount Pictures
762,Miami Vice,25723815,63450470,40.5,3021,8515,2006-07-28,Universal Pictures
763,Captain Phillips,25718314,107100855,24,3020,8515,2013-10-11,Sony Pictures Releasing
764,Fantastic Four,25685737,56117548,45.8,3995,6429,2015-08-07,Twentieth Century Fox
765,The A-Team,25669455,77222099,33.2,3535,7261,2010-06-11,Twentieth Century Fox
766,Big Momma's House,25661041,117559438,21.8,2802,9158,2000-06-02,Twentieth Century Fox
767,About Last Night,25649011,48637684,52.7,2253,11384,2014-02-14,Screen Gems
768,V for Vendetta,25642340,70511035,36.4,3365,7620,2006-03-17,Warner Bros.
769,Robin Hood: Prince of Thieves,25625602,165493908,15.5,2369,10817,1991-06-14,Warner Bros.
770,Son of God,25601865,59700064,42.9,3260,7853,2014-02-28,Twentieth Century Fox
771,Kill Bill: Vol. 2,25600000,66208183,38.7,2971,8616,2004-04-16,Miramax
772,Total Recall,25577758,58877969,43.4,3601,7102,2012-08-03,Sony Pictures Releasing
773,Battleship,25534825,65422625,39,3690,6920,2012-05-18,Universal Pictures
774,Total Recall,25533700,119394840,21.4,2060,12395,1990-06-01,Sony Pictures Releasing
775,Penguins of Madagascar,25447444,83850911,30.4,3764,6760,2014-11-26,Twentieth Century Fox
776,The Visit,25427560,65206105,39,3069,8285,2015-09-11,Universal Pictures
777,The Nutty Professor,25411725,128814019,19.7,2115,12015,1996-06-28,Universal Pictures
778,The Firm,25400000,158348367,16,2393,10614,1993-07-02,Paramount Pictures
779,Teenage Mutant Ninja Turtles,25398367,135265915,18.8,2006,12661,1990-03-30,New Line Cinema
780,Madea's Witness Protection,25390575,65653242,38.7,2161,11749,2012-06-29,Lionsgate Films
781,Gnomeo & Juliet,25356909,99967670,25.4,2994,8469,2011-02-11,Walt Disney Studios Motion Pictures
782,Apollo 13,25353380,172071312,14.7,2197,11540,1995-06-30,Universal Pictures
783,Indiana Jones and the Temple of Doom,25337110,179870271,14.1,1687,15019,1984-05-23,Paramount Pictures
784,Gone in 60 Seconds,25336048,101648571,24.9,3006,8428,2000-06-09,Walt Disney Studios Motion Pictures
785,Underworld: Awakening,25306725,62321039,40.6,3078,8221,2012-01-20,Screen Gems
786,Public Enemies,25271675,97104620,26,3334,7579,2009-07-01,Universal Pictures
787,Patch Adams,25262280,135026902,18.7,2712,9315,1998-12-25,Universal Pictures
788,Date Night,25207599,98711404,25.5,3374,7471,2010-04-09,Twentieth Century Fox
789,Tomorrow Never Dies,25143007,125304276,20.1,2807,8957,1997-12-19,Metro-Goldwyn-Mayer
790,Meet the Robinsons,25123781,97822171,25.7,3413,7361,2007-03-30,Walt Disney Studios Motion Pictures
791,Master and Commander: The Far Side of the World,25105990,93927920,26.7,3101,8096,2003-11-14,Twentieth Century Fox
792,The Rock,25069525,134069511,18.7,2392,10480,1996-06-07,Walt Disney Studios Motion Pictures
793,Madea's Big Happy Family,25068677,53345287,47,2288,10956,2011-04-22,Lionsgate Films
794,Dr. Dolittle 2,25037039,112952899,22.2,3049,8211,2001-06-22,Twentieth Century Fox
795,Blue Beetle,25030225,72488072,34.5,3871,6466,2023-08-18,Warner Bros.
796,Vanilla Sky,25015518,100618344,24.9,2742,9123,2001-12-14,Paramount Pictures
797,Peter Rabbit,25010928,115253424,21.7,3725,6714,2018-02-09,Sony Pictures Releasing
